full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
PaoPaoLong-lab/Spring-Cloud-Gateway-CVE-2022-22947-,None,https://github.com/PaoPaoLong-lab/Spring-Cloud-Gateway-CVE-2022-22947-,['cve-2 OR cve_2'],1,2022-03-10T05:20:49+0000,0,0,,0,['CVE-2022-22947']
PaoPaoLong-lab/Spring-CVE-2022-22947-,None,https://github.com/PaoPaoLong-lab/Spring-CVE-2022-22947-,['cve-2 OR cve_2'],1,2022-03-10T06:01:33+0000,0,0,,0,['CVE-2022-22947']
Rauschmittel/TestExploit,None,https://github.com/Rauschmittel/TestExploit,['exploit'],1,2022-03-10T06:42:34+0000,0,0,,0,[]
animecat7/Arc,Arc is an advanced tool used for exploiting the browser and bypassing web restrictions.,https://github.com/animecat7/Arc,['exploit'],1,2022-03-10T09:24:07+0000,0,0,CSS,0,[]
ByteHackr/CVE-2022-0853,None,https://github.com/ByteHackr/CVE-2022-0853,['cve-2 OR cve_2'],1,2022-03-10T09:28:22+0000,0,1,,1,['CVE-2022-0853']
retr0-13/MsWordRCE,None,https://github.com/retr0-13/MsWordRCE,['rce'],1,2022-03-10T10:33:29+0000,0,0,Ruby,0,[]
retr0-13/cveScannerV2,None,https://github.com/retr0-13/cveScannerV2,['cve-2 OR cve_2'],1,2022-03-10T10:55:43+0000,0,0,Python,0,[]
mohamedimthiyaj/cve-2018,None,https://github.com/mohamedimthiyaj/cve-2018,['cve-2 OR cve_2'],1,2022-03-10T11:25:12+0000,0,0,Go,0,[]
k0imet/CVE-POCs,"for this repo i wish to keep an archive of available POCs and Descriptions alike, ",https://github.com/k0imet/CVE-POCs,['cve poc'],1,2022-03-10T11:29:00+0000,0,0,,0,[]
martinkubecka/OhMyDoS,:no_entry: Python console application abusing Wordpress API called XML-RPC and its functions with aim of Denial-of-Service.,https://github.com/martinkubecka/OhMyDoS,['exploit'],1,2022-03-10T11:53:37+0000,0,0,Python,0,[]
retr0-13/linux_exploit_suggester,None,https://github.com/retr0-13/linux_exploit_suggester,['exploit'],1,2022-03-10T12:14:04+0000,0,0,Shell,0,[]
V0WKeep3r/CVE-2022-0847-DirtyPipe-Exploit,CVE-2022-0847-DirtyPipe-Exploit,https://github.com/V0WKeep3r/CVE-2022-0847-DirtyPipe-Exploit,"['cve-2 OR cve_2', 'exploit']",2,2022-03-10T13:41:19+0000,0,0,C,0,['CVE-2022-0847']
krishpranav/evilkit,A Simple Backdoor ToolKit Using Rust,https://github.com/krishpranav/evilkit,['exploit'],1,2022-03-10T13:43:14+0000,0,1,Rust,0,[]
kmeps4/900auto,Kameleon PS4 9.00 FW Exploit Host Lite Auto Method,https://github.com/kmeps4/900auto,['exploit'],1,2022-03-10T19:40:36+0000,2418,2,HTML,0,[]
glyptho/myreconmethods,This includes the methods of recon and exploit for Bug Bounty.,https://github.com/glyptho/myreconmethods,['exploit'],1,2022-03-10T06:15:13+0000,56,1,,1,[]
Hamziee/Hamzies-Hub,"Hamzie's Hub is a Roblox Script. That gives you the best Exploit Scripts for all the supported games! And everyday there are more games added. Hamzie's Hub comes with its own executor, so NO KEY BULLSHIT!",https://github.com/Hamziee/Hamzies-Hub,['exploit'],1,2022-03-10T22:21:20+0000,62,2,,0,[]
